date,municipio_residencia_paciente_sp,n_internacoes
2020-01-01,280480,12
2020-01-01,355540,19
2020-01-01,314790,49
2020-01-01,313300,45
2020-01-01,110012,21
2020-01-01,351310,34
2020-01-01,500660,19
2020-01-01,350530,7
2020-01-01,351140,61
2020-01-01,270030,51
2020-01-01,352050,32
2020-01-01,350760,44
2020-01-01,352210,47
2020-01-01,352440,69
2020-01-01,355645,5
2020-01-01,353190,34
2020-01-01,352320,25
2020-01-01,354430,21
2020-01-01,351350,11
2020-01-01,352410,19
2020-01-01,353070,27
2020-01-01,315180,17
2020-01-01,354390,12
2020-01-01,350850,5
2020-01-01,311780,40
2020-01-01,412630,60
2020-01-01,355670,15
2020-01-01,350275,13
2020-01-01,260990,2
2020-01-01,354520,42
2020-01-01,314760,5
2020-01-01,510340,2
2020-01-01,312245,10
2020-01-01,352690,5
2020-01-01,353870,21
2020-01-01,354075,15
2020-01-01,351820,19
2020-01-01,311410,2
2020-01-01,330390,49
2020-01-01,292190,3
2020-01-01,292120,3
2020-01-01,293220,3
2020-01-01,352030,37
2020-01-01,317020,24
2020-01-01,410040,8
2020-01-01,315210,24
2020-01-01,420757,4
2020-01-01,354680,7
2020-01-01,120040,2
2020-01-01,355650,25
2020-01-01,354910,32
2020-01-01,317010,3
2020-01-01,353790,2
2020-01-01,354995,37
2020-01-01,354410,3
2020-01-01,293060,2
2020-01-01,250750,37
2020-01-01,352340,8
2020-01-01,291950,3
2020-01-01,352670,7
2020-01-01,352400,36
2020-01-01,351150,20
2020-01-01,312360,11
2020-01-01,350750,29
2020-01-01,150140,54
2020-01-01,292740,12
2020-01-01,355210,9
2020-01-01,353680,17
2020-01-01,354140,15
2020-01-01,316400,2
2020-01-01,355480,16
2020-01-01,353080,6
2020-01-01,110028,6
2020-01-01,352920,2
2020-01-01,350320,51
2020-01-01,352000,2
2020-01-01,353300,8
2020-01-01,311060,4
2020-01-01,330555,2
2020-01-01,170030,3
2020-01-01,291920,4
2020-01-01,317170,6
2020-01-01,352270,2
2020-01-01,220196,2
2020-01-01,313420,2
2020-01-01,354320,2
2020-01-01,352900,25
